,name,protein,protein_akg_pct,portion_for_protein
234,Enting-enting gepuk hello kity,13.6,0.22666666666666666,4.411764705882353
235,Enting-enting gepuk kacang tanah,13.3,0.22166666666666668,4.511278195488722
236,Enting-enting wijen,18.2,0.30333333333333334,3.296703296703297
237,Erbis,0.6,0.01,100.0
238,Es Krim (Coconut milk) ,3.0,0.05,20.0
239,Es Sirup ,0.0,0.0,inf
240,Es krim,4.0,0.06666666666666667,15.0
241,Fillet o-fish,12.3,0.20500000000000002,4.878048780487805
242,Gadeng/Gadung kering,2.4,0.04,25.0
243,Gadung kukus,0.8,0.013333333333333334,75.0
244,Gadung mentah,2.1,0.035,28.57142857142857
245,Gadung ubi kukus,0.6,0.01,100.0
246,Gadung ubi segar,0.9,0.015000000000000001,66.66666666666667
247,Gambas (Oyong),0.8,0.013333333333333334,75.0
248,Gambas lodeh,0.3,0.005,200.0
249,Gandaria,0.7,0.011666666666666665,85.71428571428572
250,Ganyong kukus,0.8,0.013333333333333334,75.0
251,Ganyong mentah,1.0,0.016666666666666666,60.0
252,Ganyong segar,0.6,0.01,100.0
253,Gaplek,1.5,0.025,40.0
254,Gatep segar,4.5,0.075,13.333333333333334
255,Gembili,1.5,0.025,40.0
256,Gembili ubi segar,1.1,0.018333333333333333,54.54545454545454
257,Gemblong,1.7,0.028333333333333332,35.294117647058826
258,Gendar goreng,6.4,0.10666666666666667,9.375
259,Genjer segar,1.7,0.028333333333333332,35.294117647058826
260,Geplak jahe,3.1,0.051666666666666666,19.35483870967742
261,Gete kuah asam masakan,8.2,0.13666666666666666,7.317073170731708
262,Getuk goreng,1.3,0.021666666666666667,46.15384615384615
263,Getuk pisang,1.1,0.018333333333333333,54.54545454545454
264,Getuk singkong,0.5,0.008333333333333333,120.0
265,Ginjal Domba,16.6,0.27666666666666667,3.614457831325301
266,Gudeg ,1.6,0.02666666666666667,37.5
267,Gudeg sayur,3.3,0.055,18.181818181818183
268,Gulai asam keueung masakan,10.0,0.16666666666666666,6.0
269,Gulai ikan paya masakan,10.0,0.16666666666666666,6.0
270,Gulai keumamah masakan,5.9,0.09833333333333334,10.169491525423728
271,Gulai pakis,4.0,0.06666666666666667,15.0
272,Gulai tiram masakan,9.0,0.15,6.666666666666667
273,Gurame asem manis masakan,12.7,0.21166666666666664,4.724409448818898
274,Gurandil,0.5,0.008333333333333333,120.0
275,Hangop,10.0,0.16666666666666666,6.0
276,Hati Babi,19.7,0.3283333333333333,3.0456852791878175
277,Hati Sapi,19.7,0.3283333333333333,3.0456852791878175
278,Havermout,14.2,0.23666666666666666,4.225352112676057
279,Ikan Asin bilis goreng,33.6,0.56,1.7857142857142856
280,Ikan Asin gabus goreng,46.5,0.775,1.2903225806451613
281,Ikan Asin japuh goreng,18.7,0.31166666666666665,3.2085561497326203
282,Ikan Asin sirinding goreng,6.9,0.115,8.695652173913043
283,Ikan Asin teri goreng,33.4,0.5566666666666666,1.7964071856287427
284,Ikan Bader (Tawes),19.0,0.31666666666666665,3.1578947368421053
285,Ikan Bandeng,20.0,0.3333333333333333,3.0
286,Ikan Bawal,19.0,0.31666666666666665,3.1578947368421053
287,Ikan Belida bakar,18.0,0.3,3.3333333333333335
288,Ikan Belida segar,14.7,0.245,4.081632653061225
289,Ikan Belut Segar mentah,6.7,0.11166666666666666,8.955223880597014
290,Ikan Ekor Kuning,17.0,0.2833333333333333,3.5294117647058822
291,Ikan Gabus asap mentah,38.1,0.635,1.574803149606299
292,Ikan Gabus segar,25.2,0.42,2.380952380952381
293,Ikan Kembung,22.0,0.36666666666666664,2.727272727272727
294,Ikan Lemuru,20.0,0.3333333333333333,3.0
295,Ikan Mas,16.0,0.26666666666666666,3.75
296,Ikan Mas goreng,19.3,0.32166666666666666,3.1088082901554404
297,Ikan Papuyu bakar,17.6,0.29333333333333333,3.4090909090909087
298,Ikan Patin bakar,17.5,0.2916666666666667,3.4285714285714284
299,Ikan Patin segar,17.0,0.2833333333333333,3.5294117647058822
300,Ikan Pindang banjar mentah,28.0,0.4666666666666667,2.142857142857143
301,Ikan Pindang benggol mentah,31.0,0.5166666666666667,1.935483870967742
302,Ikan Pindang layang mentah,30.0,0.5,2.0
303,Ikan Sale segar,40.2,0.67,1.4925373134328357
304,Ikan Segar,17.0,0.2833333333333333,3.5294117647058822
305,Ikan Selar kering,38.0,0.6333333333333333,1.5789473684210527
306,Ikan Sepat kering,38.0,0.6333333333333333,1.5789473684210527
307,Ikan Tembang,16.0,0.26666666666666666,3.75
308,Ikan Teri kering,33.4,0.5566666666666666,1.7964071856287427
309,Ikan bandeng presto masakan,17.1,0.28500000000000003,3.508771929824561
310,Ikan baung bakar,17.8,0.2966666666666667,3.3707865168539324
311,Ikan baung segar,15.1,0.25166666666666665,3.9735099337748347
312,Ikan bili segar,14.2,0.23666666666666666,4.225352112676057
313,Ikan bubara segar,14.7,0.245,4.081632653061225
314,Ikan cakalang asin mentah,36.5,0.6083333333333333,1.643835616438356
315,Ikan daun segar,11.5,0.19166666666666668,5.217391304347826
316,Ikan gete goreng,23.1,0.385,2.5974025974025974
317,Ikan hitam segar,10.3,0.1716666666666667,5.825242718446601
318,Ikan hiu kering,46.3,0.7716666666666666,1.2958963282937366
319,Ikan hiu segar,10.7,0.17833333333333332,5.607476635514019
320,Ikan kacangan segar,15.6,0.26,3.8461538461538463
321,Ikan kakap segar,20.0,0.3333333333333333,3.0
322,Ikan katombo asin,31.7,0.5283333333333333,1.8927444794952681
323,Ikan lehoma segar,20.4,0.33999999999999997,2.9411764705882355
324,Ikan lidah segar,15.6,0.26,3.8461538461538463
325,Ikan lomak asin mentah,40.3,0.6716666666666666,1.488833746898263
326,Ikan mayong segar,17.9,0.2983333333333333,3.3519553072625703
327,Ikan nasu metti segar,16.8,0.28,3.571428571428571
328,Ikan oci kembung segar,21.3,0.35500000000000004,2.816901408450704
329,Ikan peda banjar mentah,28.0,0.4666666666666667,2.142857142857143
330,Ikan saluang kering mentah,34.1,0.5683333333333334,1.7595307917888563
331,Ikan sanggang masakan,21.7,0.36166666666666664,2.7649769585253456
332,Ikan tarmon segar,19.5,0.325,3.076923076923077
333,Ikan telan segar,15.8,0.26333333333333336,3.7974683544303796
334,Ikan terbang segar,19.6,0.3266666666666667,3.061224489795918
335,Ikan teri segar,10.3,0.1716666666666667,5.825242718446601
336,Ikan titang segar,17.4,0.29,3.4482758620689657
337,Intip goreng,7.6,0.12666666666666665,7.894736842105264
338,Itik alabio daging dendeng mentah,30.3,0.505,1.9801980198019802
339,Jagung Kuning muda,4.1,0.06833333333333333,14.634146341463415
340,Jagung Kuning pipil baru,7.9,0.13166666666666668,7.594936708860759
341,Jagung Kuning pipil lama,9.2,0.15333333333333332,6.521739130434783
342,Jagung Kuning segar,4.7,0.07833333333333334,12.76595744680851
343,Jagung Putih giling,8.7,0.145,6.8965517241379315
344,Jagung Putih muda,4.1,0.06833333333333333,14.634146341463415
345,Jagung Putih pipil baru,7.9,0.13166666666666668,7.594936708860759
346,Jagung Putih pipil lama,9.2,0.15333333333333332,6.521739130434783
347,Jagung Putih segar,4.7,0.07833333333333334,12.76595744680851
348,Jagung Rebus ,1.8,0.030000000000000002,33.333333333333336
349,Jagung grontol,2.7,0.045000000000000005,22.22222222222222
350,Jagung kuning pipil kering mentah,9.8,0.16333333333333336,6.122448979591836
351,Jagung kuning tepung,9.2,0.15333333333333332,6.521739130434783
352,Jagung muda,2.2,0.03666666666666667,27.27272727272727
353,Jagung muda kuning mentah,5.1,0.08499999999999999,11.764705882352942
354,Jagung muda rebus,5.0,0.08333333333333333,12.0
355,Jagung pipil var. metro kering,5.5,0.09166666666666666,10.909090909090908
356,Jahe,1.5,0.025,40.0
357,Jambal goreng,48.5,0.8083333333333333,1.2371134020618557
358,Jambu Biji,0.9,0.015000000000000001,66.66666666666667
359,Jambu Bol,0.6,0.01,100.0
360,Jambu Monyet buah,0.7,0.011666666666666665,85.71428571428572
361,Jambu biji putih tidak berbiji,0.9,0.015000000000000001,66.66666666666667
362,Jamur Coklat (kulat siau),2.5,0.041666666666666664,24.0
363,Jamur Putih (kulat putih),2.8,0.04666666666666666,21.42857142857143
364,Jamur encik,9.4,0.15666666666666668,6.382978723404255
365,Jamur kuping kering,16.0,0.26666666666666666,3.75
366,Jamur kuping segar,3.8,0.06333333333333332,15.789473684210527
367,Jamur merang segar,3.5,0.058333333333333334,17.142857142857142
368,Jamur sagu,1.9,0.03166666666666666,31.578947368421055
369,Jamur tiram segar,1.9,0.03166666666666666,31.578947368421055
370,Jangang bintatoeng masakan,5.3,0.08833333333333333,11.320754716981133
371,Jantung Pisang segar,1.2,0.02,50.0
372,Japilus,1.2,0.02,50.0
373,Jaruk Tigarun,2.5,0.041666666666666664,24.0
374,Jawawut,9.7,0.16166666666666665,6.185567010309279
375,Jenang ,9.5,0.15833333333333333,6.315789473684211
376,Jengkol segar,5.4,0.09000000000000001,11.11111111111111
377,Jeruk Bali,0.6,0.01,100.0
378,Jeruk Kalamansi segar,0.3,0.005,200.0
379,Jeruk Nipis,0.8,0.013333333333333334,75.0
380,Jeruk banjar segar,0.8,0.013333333333333334,75.0
381,Jeruk ragi segar,0.7,0.011666666666666665,85.71428571428572
382,Jukku pallu kaloa masakan,15.2,0.2533333333333333,3.947368421052632
383,Kabau segar,6.7,0.11166666666666666,8.955223880597014
384,Kaburan ubi segar,1.0,0.016666666666666666,60.0
385,Kabuto,2.6,0.043333333333333335,23.076923076923077
386,Kacang Andong,20.5,0.3416666666666667,2.926829268292683
387,Kacang Belimbing rebus,16.9,0.2816666666666666,3.550295857988166
388,Kacang Belimbing tempe,17.5,0.2916666666666667,3.4285714285714284
389,Kacang Bogor goreng,12.7,0.21166666666666664,4.724409448818898
390,Kacang Bogor rebus,7.7,0.12833333333333333,7.792207792207792
391,Kacang Endel biji,25.0,0.4166666666666667,2.4
392,Kacang Gude biji,20.7,0.345,2.898550724637681
393,Kacang Gude biji muda,7.0,0.11666666666666667,8.571428571428571
394,Kacang Ijo,22.2,0.37,2.7027027027027026
395,Kacang Kapri Goreng ,11.0,0.18333333333333332,5.454545454545454
396,Kacang Kedelai basah,30.2,0.5033333333333333,1.9867549668874174
397,Kacang Merah,23.1,0.385,2.5974025974025974
398,Kacang Merah kering rebus,10.3,0.1716666666666667,5.825242718446601
399,Kacang Merah segar rebus,10.0,0.16666666666666666,6.0
400,Kacang Panjang,2.7,0.045000000000000005,22.22222222222222
401,Kacang Panjang biji,17.3,0.28833333333333333,3.468208092485549
402,Kacang Panjang kukus,3.0,0.05,20.0
403,Kacang Panjang tumis,2.5,0.041666666666666664,24.0
404,Kacang Sukro Putih ,25.6,0.4266666666666667,2.34375
405,Kacang Tanah Rebus ,14.0,0.23333333333333334,4.285714285714286
406,Kacang Tanah kacang sari,25.5,0.425,2.3529411764705883
407,Kacang Tanah rebus berkulit,13.5,0.225,4.444444444444445
408,Kacang Tanah sangan berselaput,28.8,0.48000000000000004,2.0833333333333335
409,Kacang Tunggak (tolo),22.9,0.38166666666666665,2.620087336244542
410,Kacang Tunggak rebus,10.7,0.17833333333333332,5.607476635514019
